model_number_1,model_number_2,iRMSD,TCR-iRMSD,Peptide-RMSD,MHC-iRMSD,CDR3a-RMSD,CDR3b-RMSD,DockQ,iRMSD-DockQ,lRMSD-DockQ,Fnat,Clashes
0_model,2_model,0.49066806118520584,0.8995467791910385,0.13549802389551202,0.3107720522631011,0.22168578976260342,0.38485840084454515,0.896,0.578,1.626,0.852,0
0_model,3_model,0.6125179583682645,0.9820799722454294,0.144606348787638,0.4874413957220056,0.37944743767473627,0.41190956496143205,0.903,0.447,2.036,0.845,0
0_model,4_model,0.3728864162132338,0.7734180870719541,0.1128243712394298,0.13215632088890875,0.8408858234196799,0.43631947243565083,0.911,0.444,1.319,0.836,0
1_model,2_model,0.5362488772817314,0.938472008879986,0.09804436380505319,0.3670341674370599,1.515962732184104,0.3608052815270054,0.945,0.48,2.018,0.981,0
1_model,3_model,0.7210928547425478,1.346636010331003,0.09442970729373341,0.42135402921280196,1.300678604245864,0.30839161232015805,0.894,0.719,1.404,0.897,0
1_model,4_model,0.7884163902387084,1.5569727846878345,0.1458665014314519,0.3655468800665762,1.2053348212218877,0.5267109089674029,0.87,0.748,1.799,0.852,0
2_model,3_model,0.6006825606626691,1.1158965990299292,0.10277737792924141,0.37082288005576286,0.46269181215353805,0.22199983668189677,0.85,0.793,2.144,0.828,0
2_model,4_model,0.6807052114155847,1.3684591184564918,0.10050901493399657,0.311899216805921,0.918085369991618,0.5167387775401704,0.833,0.759,1.583,0.738,0
3_model,4_model,0.67225654754279,1.1514543507688357,0.11853641741707005,0.4777123526861772,0.5337544479899479,0.4659475249703776,0.924,0.35,0.977,0.836,0
0_model,1_model,0.6450513833889572,1.1698961395393106,0.36253164745171246,0.42261244381734764,1.6212253769546079,0.30131993481451347,0.933,0.416,0.931,0.882,0
0_model,2_model,0.6956692979136986,1.3261758583816796,0.3671717966102915,0.40317381115094086,2.0718072207630733,0.4622447277205276,0.924,0.424,1.59,0.879,0
0_model,3_model,0.923225363484157,1.5691503495211685,0.567093635968141,0.6756962287289447,2.252955915919022,0.4879030014722657,0.924,0.462,1.638,0.894,0
0_model,4_model,0.9639004629067529,1.9265970036304703,0.2014549264024739,0.49168262060685924,2.6372126941186282,0.5830329100041449,0.872,0.686,1.55,0.821,0
1_model,2_model,0.8597169287192049,1.7031384832330303,0.11673339397105077,0.4190440539405529,2.743983290469788,0.31108093512381174,0.922,0.435,1.932,0.894,0
1_model,3_model,0.9617551318420023,1.7624898235872917,0.6709577259077383,0.5721869426064193,2.8766428664660313,0.42218503083204034,0.919,0.47,1.554,0.879,0
1_model,4_model,1.040063099538955,2.106307789029696,0.4111923554266298,0.4280141322342934,3.217109919862603,0.4594400478564616,0.898,0.672,1.007,0.875,0
2_model,3_model,0.6792063763007029,0.7990571995580572,0.6750575764213458,0.6405007604170188,0.7898346701382155,0.3165556392598731,0.952,0.3,1.816,0.939,0
2_model,4_model,0.7741605206743303,1.502074491143202,0.39042862624116087,0.4080338989235481,1.6736123925523518,0.3745454876817803,0.925,0.494,2.09,0.929,0
3_model,4_model,0.9384773251892427,1.5962393987696901,0.5965042270310864,0.6828225239466028,1.716167749898963,0.4720135415931047,0.929,0.521,1.086,0.911,0
0_model,1_model,0.5860110814720323,0.39548833641505415,0.5663450639393648,0.6452916024509596,0.12547049043761802,0.7040693735248449,0.968,0.154,2.045,0.971,0
0_model,2_model,0.5802158850233586,0.2945741396103573,0.5675978852931607,0.6575887962379883,0.1373563544464478,0.3573120301541493,0.94,0.153,3.441,0.97,0
0_model,3_model,0.5897395397865626,0.36661135961100666,0.5623358945377417,0.6570564995514525,0.14145339580321611,0.2062257089437114,0.882,0.255,5.703,0.985,0
